unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
0,184011,0.0,0.0,0.0006262749338047478,True,True,8000.0,33.10564142177749,34.08509648918856,32.02911737943585,35.12876756844585,32.429752066115704,31.8554736057015,LA3_ses-3
1,38190,0.0,2.8864717611223805e-284,3.785648508155553e-09,True,True,8000.0,7.557568756098694,7.998139967449431,6.154355198941186,9.683971078072954,7.537190082644628,6.414187453385265,LA3_ses-3
2,69077,0.0,0.0,0.5764772007909954,True,False,16000.0,11.749547925751845,11.919708594900412,11.448424187277691,11.893736290519133,12.0,11.485870556061988,LA3_ses-3
3,111203,0.0,0.0,0.8687569483024354,True,False,32000.0,19.785598317696323,19.468340695962176,19.885846637438995,19.27045251442034,19.983471074380166,20.31988066627994,LA3_ses-3
4,65696,0.0,0.0,0.6695682252782176,True,False,4000.0,11.46737116313832,12.012710222428893,12.242534535528165,10.870095052400682,11.322314049586776,10.889201955747078,LA3_ses-3
5,90526,0.0,0.0,1.2193173231559666e-05,True,True,8000.0,16.8463585384716,17.980314655506472,14.873025064107868,18.39304573889024,17.12396694214876,15.861440291704648,LA3_ses-3
6,1733,0.0,5.472886548083367e-12,0.32697304479720174,True,False,8000.0,0.2611286672525084,0.17050298380221654,0.2647034494168252,0.37371029328133887,0.18181818181818182,0.3149084279439795,LA3_ses-3
7,50186,0.0,0.0,0.00014041750635323603,True,True,4000.0,8.311428368831198,8.292645121289622,9.049549176937711,7.035502477861727,8.958677685950413,8.220767382116515,LA3_ses-3
8,133756,0.0,0.0,0.06455976007989717,True,False,4000.0,22.525238287492407,22.816399286987522,23.641326826040203,20.521569583231784,23.603305785123965,22.043589956078563,LA3_ses-3
9,36280,0.0,7.98379258189496e-191,0.21109964810218287,True,False,4000.0,5.597216778251451,5.704099821746881,6.352882786003805,4.939475180762044,5.702479338842975,5.287146763901549,LA3_ses-3
10,39067,0.0,4.1972523296825295e-243,0.0002986220627376954,True,True,4000.0,6.584855975530064,6.308610400682012,7.825295723384895,5.085709643350394,6.84297520661157,6.861688903621446,LA3_ses-3
11,286122,0.0,0.0,0.06299144185522153,True,False,2000.0,49.73746392764136,52.266914671006745,48.60617089916453,49.0210415143391,50.3801652892562,48.41302726444021,LA3_ses-3
12,19793,0.0,2.572725166477273e-86,0.07637015617264648,True,False,4000.0,3.1890927786687757,2.8055490971091994,4.119447431549342,2.6484686002112277,3.3057851239669422,3.0662136405071685,LA3_ses-3
13,22785,0.0,4.050884707656684e-159,7.328078105777115e-06,True,True,8000.0,4.416418213661059,5.053088429047508,3.7720241541897597,5.296937200422455,4.429752066115702,3.530289218529875,LA3_ses-3
14,235631,0.0,0.0,0.941463569741208,True,False,2000.0,40.36573231589328,41.091219096334186,41.062122590785016,39.515801446096354,39.85123966942149,40.308278776829376,LA3_ses-3
15,190387,0.0,0.0,1.1779222229642495e-05,True,True,4000.0,31.588086724335522,32.240564209873675,33.981305318884935,26.338451539523927,32.06611570247934,33.31399685091572,LA3_ses-3
16,20981,0.0,2.8061686007534605e-173,0.9423295257361316,True,False,16000.0,3.7009362917399473,3.6115632023560416,3.474232773595831,3.6233650174668943,3.9834710743801653,3.8120493909008037,LA3_ses-3
17,332116,0.0,0.0,0.0027228176814787426,True,True,8000.0,58.912378690757954,60.17205301092769,57.10976921168004,61.174750182793076,59.30578512396694,56.79953592442198,LA3_ses-3
18,33458,0.0,4.5246589587268635e-150,3.23666184591063e-46,True,True,4000.0,3.2163464137023197,4.758583275207316,5.740756059227397,2.4372410431391667,1.4380165289256197,1.7071351620120991,LA3_ses-3
19,3935,0.0,5.025995861590075e-44,1.7821301863929484e-09,True,True,4000.0,0.6812818992957371,0.8835154615205766,1.2738853503184713,0.47119993500690555,0.4297520661157025,0.3480566835170299,LA3_ses-3
20,2341,0.0,1.3195722097136513e-08,0.11191057837734991,True,False,4000.0,0.14297517481926286,0.17050298380221654,0.2647034494168252,0.09748964172556666,0.049586776859504134,0.13259302229220188,LA3_ses-3
21,21024,0.0,0.0,0.0,True,True,32000.0,34.562396003484935,6.92862125087189,3.1102655306476965,26.14347225607279,33.04132231404959,103.58829866578272,LA3_ses-3
22,10860,0.0,5.531866099513721e-119,6.62907915344881e-114,True,True,32000.0,2.337187334384507,1.116019530341781,0.5624948300107535,1.5923308148509219,1.6694214876033058,6.74567000911577,LA3_ses-3
23,4346,0.0,7.131547821742954e-20,0.03823084784549299,True,True,16000.0,0.44243463647370185,0.4340075951329148,0.21507155265117048,0.4874482086278333,0.6115702479338844,0.46407557802270655,LA3_ses-3
