session,signed_contrast,choice_right,block_right,neural_group
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,0,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,0,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,0,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,-0.125,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.125,1,1,low
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,-0.0625,0,1,high
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.25,1,1,mid
1191f865-b10a-45c8-9c48-24a980fd9402,0.0625,1,1,high
